ID_Nac;Hor;Hmor;Mor_Pp;Mor_suf;Mor_ sec;Lim_sup;Lim_inf;CO;pH_H2O;PH;CE_dS/m
CSp-NII_F3-97-0008;1;Ap;A;p;1;0;15;2,947;5,85;0,0585;0,08
CSp-NII_F3-97-0008;2;Bw1;B;w;1;15;50;1,652;6,2;0,062;0,03
CSp-NII_F3-97-0008;3;Bw2;B;w;1;50;70;0;0;0;0
CSp-NII_F3-97-0008;4;Bw3;B;w;1;70;90;0;0;0;0
CSp-NII_F3-97-0008;5;Bw4;B;w;1;90;105;0;0;0;0
CSp-NII_F3-97-0008;6;Ab;A;b;1;105;125;0;0;0;0
CSp-NII_F3-97-0008;7;2Bw1;B;w;2;125;140;0;0;0;0
CSp-NII_F3-97-0010;1;Ap;A;p;1;0;5;0;0;0;0
CSp-NII_F3-97-0010;2;Bw;B;w;1;5;20;1,115;6,18;0,0618;0,03
CSp-NII_F3-97-0010;3;C1;C;;1;20;55;1,115;6,61;0,0661;0,01
CSp-NII_F3-97-0010;4;C2;C;;1;55;75;0,558;6,66;0,0666;0,01
CSp-NII_F3-97-0010;5;C3;C;;1;75;145;0;0;0;0
CSp-NII_F3-97-0011;1;Oi;O;i;1;0;5;0;0;0;0
CSp-NII_F3-97-0011;2;A;A;;1;5;25;4,522;6,26;0,0626;0,12
CSp-NII_F3-97-0011;3;Bw;B;w;1;25;75;1,223;6,57;0,0657;0,05
CSp-NII_F3-97-0011;4;Cr;C;r;1;75;140;0;0;0;0
CSp-NIII_A2-89-0004;1;Ap;A;p;1;0;22;1,523;6,14;0,0614;0,06
CSp-NIII_A2-89-0004;2;Bw1;B;w;1;22;47;0,794;6,69;0,0669;0,04
CSp-NIII_A2-89-0004;3;Bw2;B;w;1;47;96;0,729;6,91;0,0691;0,03
CSp-NIII_A2-89-0004;4;2Bw3;B;w;2;96;140;0;0;0;0
CSp-NIII_A2-89-0005;1;Ap;A;p;1;0;22;1,416;6,08;0,0608;0,07
CSp-NIII_A2-89-0005;2;Bw1;B;w;1;22;42;0,558;6,61;0,0661;0,03
