ID_Nac;X;Y
CSp-NVI_C3-92-0034;-79,937;-3,651
CSp-NVI_E1-95-0039;-79,924;-3,706
CSp-NVI_E1-95-0038;-79,92;-3,718
CSp-NVI_C3-92-0036;-79,917;-3,64
CSp-NVI_C3-92-0035;-79,917;-3,659
CSp-NVI_E1-95-0040;-79,915;-3,703
CSp-NVI_A3-94-0027;-79,914;-3,254
CSp-NVI_A3-94-0026;-79,911;-3,251
CSp-NVI_E1-95-0036;-79,907;-3,684
CSp-NVI_E1-95-0037;-79,904;-3,682
CSp-NVI_C1-95-0027;-79,903;-3,368
CSp-NVI_E1-83-0047;-79,903;-3,674
CSp-NVI_C3-92-0037;-79,901;-3,638
CSp-NVI_E1-84-0037;-79,896;-3,7
CSp-NVI_E1-84-0038;-79,895;-3,688
CSp-NVI_E1-84-0039;-79,894;-3,688
CSp-NVI_E1-84-0036;-79,892;-3,703
CSp-NVI_E1-84-0035;-79,89;-3,706
CSp-NVI_E1-94-0035;-79,886;-3,729
CSp-NVI_E1-94-0038;-79,886;-3,708
CSp-NVI_E1-94-0036;-79,885;-3,714
CSp-NVI_E1-94-0037;-79,88;-3,708
CSp-NVI_C3-100-0047;-79,876;-3,62
CSp-NVI_E1-94-0034;-79,875;-3,731
CSp-NIV_E1-99-0060;-79,873;-1,805
CSp-NVI_C3-100-0046;-79,87;-3,618
CSp-NVI_C3-100-0048;-79,87;-3,633
CSp-NVI_C3-84-0049;-79,865;-3,661
CSp-NVI_A1-95-0023;-79,864;-3,134
CSp-NIV_E1-99-0063;-79,865;-1,68
CSp-NVI_C3-84-0051;-79,863;-3,649
CSp-NVI_C3-84-0050;-79,862;-3,658
CSp-NIV_C3-99-0066;-79,863;-1,66
CSp-NVI_E1-83-0050;-79,857;-3,67
CSp-NIV_E1-99-0061;-79,858;-1,721
CSp-NIV_C3-99-0065;-79,857;-1,664
CSp-NVI_E1-83-0049;-79,854;-3,683
CSp-NVI_A3-95-0033;-79,854;-3,216
CSp-NIV_E1-99-0057;-79,852;-1,801
CSp-NIV_C1-86-0033;-79,849;-1,455
CSp-NIV_C3-99-0064;-79,846;-1,649
CSp-NVI_C3-100-0044;-79,844;-3,639
CSp-NVI_C3-100-0045;-79,844;-3,632
CSp-NVI_E1-92-0038;-79,842;-3,724
CSp-NVI_E1-92-0040;-79,842;-3,686
CSp-NVI_E1-95-0045;-79,842;-3,818
CSp-NVI_E1-95-0046;-79,841;-3,818
CSp-NVI_A1-95-0022;-79,84;-3,124
CSp-NIV_E1-99-0062;-79,838;-1,735
CSp-NVI_E1-92-0041;-79,836;-3,678
CSp-NIV_E3-99-0059;-79,836;-1,855
CSp-NIV_E1-99-0058;-79,836;-1,807
CSp-NVI_E1-94-0043;-79,831;-3,699
CSp-NVI_E1-95-0047;-79,829;-3,815
CSp-NVI_E1-94-0040;-79,828;-3,705
CSp-NVI_E1-94-0039;-79,826;-3,703
CSp-NVI_E1-84-0046;-79,825;-3,819
CSp-NVI_E1-94-0042;-79,824;-3,7
CSp-NVI_E1-84-0047;-79,824;-3,819
CSp-NVI_E1-94-0041;-79,824;-3,701
CSp-NVI_E1-84-0045;-79,823;-3,819
CSp-NIV_E1-96-0061;-79,822;-1,82
CSp-NIV_C1-86-0030;-79,821;-1,409
CSp-NVI_A3-84-0021;-79,811;-3,259
CSp-NVI_E1-83-0054;-79,81;-3,784
CSp-NVI_C3-100-0054;-79,809;-3,655
CSp-NVI_C3-100-0055;-79,809;-3,652
CSp-NVI_E1-83-0048;-79,809;-3,687
CSp-NVI_E1-83-0052;-79,808;-3,778
CSp-NVI_E1-83-0051;-79,808;-3,792
CSp-NVI_E1-83-0053;-79,808;-3,778
CSp-NVI_E1-95-0048;-79,804;-3,824
CSp-NVI_C1-95-0028;-79,804;-3,373
CSp-NVI_E3-100-0056;-79,803;-3,847
CSp-NVI_C3-84-0057;-79,803;-3,663
CSp-NIV_C1-98-0048;-79,804;-1,351
CSp-NIV_C1-98-0049;-79,803;-1,355
CSp-NVI_E1-84-0048;-79,8;-3,825
CSp-NIV_C1-98-0041;-79,801;-1,397
CSp-NIV_C1-86-0031;-79,801;-1,417
CSp-NVI_C3-83-0063;-79,797;-3,653
CSp-NIV_E3-98-0058;-79,798;-1,842
CSp-NVI_E1-94-0046;-79,796;-3,719
CSp-NVI_E3-100-0057;-79,795;-3,856
CSp-NVI_E1-94-0047;-79,795;-3,713
CSp-NVI_E1-84-0055;-79,795;-3,821
CSp-NVI_E1-84-0056;-79,795;-3,821
CSp-NVI_E1-94-0044;-79,794;-3,724
CSp-NIV_C1-98-0040;-79,795;-1,396
CSp-NVI_E1-84-0054;-79,793;-3,833
CSp-NVI_C3-83-0062;-79,792;-3,65
CSp-NVI_A3-84-0020;-79,791;-3,27
CSp-NVI_E1-83-0055;-79,791;-3,755
